Method,Direction,N,Target prob ↑,PPL ↓,Harmonic ↑,Semantic sim ↑
Instruction prompting,cat→to→dog,1064,0.051,9.30,0.070,0.489
Instruction prompting,dog→to→cat,1036,0.064,9.87,0.078,0.485
