exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,first_half_positive,second_half_negative,second_half_perplexity,first_half_positive_norm,second_half_negative_norm,inverse_ppl_norm,score_avg,score_mul
pattern_l25-31-16-24-26_a1.6_fh1.0_sh1.5,5,"25,31,16,24,26",positive,True,1.6,1.0,1.5,0.1743652504682541,0.18111051950603724,906.6891575837135,0.1747597279221458,0.24599076791566094,0.9785026227193517,0.46641770618571954,0.04206512290816187
pattern_l25-31-16_a2.0_fh1.0_sh3.0,3,"25,31,16",positive,True,2.0,1.0,3.0,0.1598540672659874,0.162745766825974,1009.8629326438904,0.12300152009467234,0.21520644858475493,0.9760496741275007,0.43808588093564266,0.025836737932594105
pattern_l25-31-16-24-26_a2.0_fh0.5_sh3.0,5,"25,31,16,24,26",positive,True,2.0,0.5,3.0,0.228470409065485,0.59352707862854,42063.609375,0.36774096206275364,0.9373130674619717,0.0,0.4350180098415752,0.0
pattern_l25-31-16-24-26_a2.0_fh0.5_sh1.5,5,"25,31,16,24,26",positive,True,2.0,0.5,1.5,0.13746883694082498,0.21031087666749954,1883.7632444763183,0.04315831314965665,0.2949385068313514,0.9552727612145312,0.43112319373184643,0.012159713248733928
pattern_l25-31-16-24-26_a1.2_fh1.0_sh2.5,5,"25,31,16,24,26",positive,True,1.2,1.0,2.5,0.1253687620908022,0.228018994666636,1762.6566049194337,0.0,0.3246221278815045,0.9581520622849011,0.4275913967221352,0.0
pattern_l25-31-16-24-26_a1.2_fh1.0_sh2.0,5,"25,31,16,24,26",positive,True,1.2,1.0,2.0,0.13968273263424635,0.17450150936841965,1659.8507669460773,0.05105479352698058,0.23491226976858356,0.9605962632007223,0.41552110883209553,0.01152081275432896
pattern_l25-31-16-24-26_a2.4_fh0.5_sh1.0,5,"25,31,16,24,26",positive,True,2.4,0.5,1.0,0.13968273263424635,0.17450150936841965,1659.8507669460773,0.05105479352698058,0.23491226976858356,0.9605962632007223,0.41552110883209553,0.01152081275432896
pattern_l25-31-16-24-26_a2.4_fh0.5_sh3.0,5,"25,31,16,24,26",positive,True,2.4,0.5,3.0,0.1652277197688818,0.59352707862854,42063.609375,0.1421681599999549,0.9373130674619717,0.0,0.35982707582064216,0.0
pattern_l25-31-16-24-26_a1.2_fh1.0_sh1.0,5,"25,31,16,24,26",positive,True,1.2,1.0,1.0,0.14452252224087714,0.03436179442331195,2.485304594039917,0.06831726157039368,0.0,1.0,0.35610575385679794,0.0
pattern_l25-31-16-24-26_a2.4_fh0.5_sh2.5,5,"25,31,16,24,26",positive,True,2.4,0.5,2.5,0.1512923628091812,0.59352707862854,42063.609375,0.0924637980870307,0.9373130674619717,0.0,0.3432589551830008,0.0
