Method,Config,N,Target prob ↑,PPL ↓,Harmonic ↑,Semantic sim ↑
Activation steering,"k=5, u=5, samp=0.5, ident=0.5",2100,0.037,30.20,0.051,n/a
Instruction prompting,rewrite prompt + masked diffusion,2100,0.058,9.58,0.074,0.487
