stage,seed,vectors,layer,alpha,k,refill_steps,sampling_temp,identify_temp,target_prob,perplexity,harmonic_score,num_records,length_bin
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,5,10,0.5,0.5,0.033351407777956775,20.31979926623738,0.04544771551376899,647,long
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,1,15,0.5,0.5,0.019146599212570174,24.524591432101484,0.025277563464533123,828,short
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,1,15,0.5,0.5,0.01235592584112601,20.91140175933838,0.019480737357911875,625,medium
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,1,15,0.5,0.5,0.011994598699220519,18.035934026679815,0.016641631333012216,647,long
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,2,15,0.5,0.5,0.030293464355233904,25.168212966642518,0.0420343460520614,828,short
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,2,15,0.5,0.5,0.02114063185321902,20.920704795074464,0.03074696895730466,625,medium
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,2,15,0.5,0.5,0.020010456840826845,18.28388482378292,0.028897325449620332,647,long
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,3,15,0.5,0.5,0.030634664873009778,24.10757169113067,0.043931775086010025,828,short
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,3,15,0.5,0.5,0.028700356889471004,21.177022718811035,0.04032022005975636,625,medium
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,3,15,0.5,0.5,0.024650070954833896,18.339951548362627,0.03319220234527449,647,long
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,4,15,0.5,0.5,0.035694515151048094,23.422962856465492,0.04863565171749202,828,short
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,4,15,0.5,0.5,0.031112846098342563,21.28088851928711,0.04454005411767066,625,medium
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,4,15,0.5,0.5,0.02795922068766624,18.115381810543525,0.038352239541592094,647,long
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,5,15,0.5,0.5,0.03730010970932401,23.246389845719083,0.051724713117088414,828,short
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,5,15,0.5,0.5,0.035846838440654394,20.553283988952636,0.04899146636656909,625,medium
refill,41,steer_vectors/diffusion-val-catdog_cat_minus_dog_val_n10_s41.pt,32,100.0,5,15,0.5,0.5,0.026818848790588695,17.799496991188487,0.03775849242231098,647,long
