task,method,direction,num_records,target_prob,perplexity,harmonic_score,semantic_similarity
imdb,prompting,negative_to_positive,500,0.09858080424652871,31.679506360530855,0.126845720005805,0.5681913316685129
imdb,prompting,positive_to_negative,500,0.29837318404882174,34.35797313714028,0.32042048258733263,0.6092313006941898
imdb,prompting,overall,1000,0.19847699414767522,33.018739748835564,0.2236331012965688,0.5887113161813513
